"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_salud","Satisfaccion_servicios_hogar","Satisfaccion_tecnologia","Satisfaccion_composicion_hogar","satisfaccion_total"
"9511",7323886,5,27.27,60,71.5,0,36,91,6
"9513",7323889,1,81.81,60,68.5,61,23,91,10
"9514",7323890,1,90.9,60,68.5,64,52,91,10
"9515",7323892,1,78.78,60,73,67,23,91,10
"9516",7323895,2,90.9,44,71,0,36,54,10
"9517",7323896,2,81.81,60,73,0,26,81,10
"9518",7323898,1,78.78,44,71,58,36,66,10
"9519",7323900,3,60.6,44,71,0,36,76,6
"9520",7323905,1,78.78,60,75,57,23,38,8
"9521",7323905,2,78.78,60,71,0,51,67,6
"9522",7323906,1,90.9,60,68.5,65,3,55,6
"9523",7323907,1,81.81,60,68.5,56,23,55,6
"9525",7323913,1,87.87,44,66,56,54,61,5
"9529",7323933,2,81.81,60,68,0,29,76,8
"9530",7323936,3,75.75,60,69,0,1,43,6
"9532",7323937,1,81.81,60,70.5,42,1,28,8
"9534",7323941,1,75.75,60,69.5,47,3,79,10
"9535",7323944,1,87.87,100,66,46,1,91,10
"9538",7323960,1,69.69,60,58,54,3,48,6
"9539",7323962,1,78.78,44,56.5,54,23,81,5
"9540",7323962,2,78.78,44,75,45,23,46,8
"9543",7323965,1,78.78,60,61,58,3,66,7
"9544",7323965,2,78.78,60,57.5,0,23,82,7
"9545",7323968,1,75.75,100,71,58,23,76,6
"9549",7323984,1,81.81,60,69.5,60,3,91,7
"9550",7323985,2,81.81,44,64,0,58,33,10
"9551",7323987,1,87.87,44,53,61,52,33,10
"9552",7323993,1,90.9,44,66.5,54,44,38,10
"9553",7323994,1,69.69,60,65.5,65,23,71,6
"9554",7323998,1,69.69,100,62.5,64,23,91,7
"9556",7323999,2,66.66,60,67.5,0,16,81,5
"9557",7324002,2,63.63,60,66.5,0,36,43,6
"9558",7324005,1,69.69,60,61.5,62,16,76,10
"9560",7324008,1,66.66,60,66.5,66,33,67,8
"9564",7324012,1,63.63,60,64.5,69,23,82,6
"9567",7324016,1,60.6,60,64,66,23,60,10
"9568",7324016,2,60.6,60,68.5,0,23,58,10
"9569",7324017,1,81.81,60,56.5,58,3,42,7
"9570",7324019,1,81.81,60,62.5,65,36,67,7
"9571",7324019,2,81.81,60,64.5,0,36,79,7
"9572",7324021,1,72.72,60,68.5,63,23,91,7
"9573",7324021,2,72.72,60,67,0,36,48,7
"9574",7324025,3,66.66,60,51.5,0,36,23,7
"9575",7324027,1,66.66,60,70,69,23,58,7
"9576",7324031,4,75.75,60,69,0,36,82,10
"9577",7324035,1,63.63,60,67,70,3,91,10
"9578",7324035,2,63.63,60,68.5,0,36,79,10
"9579",7324041,1,69.69,60,71,46,3,82,10
"9580",7324047,1,72.72,60,66.5,40,3,91,10
"9581",7324048,1,81.81,60,65.5,44,16,91,8
"9582",7324048,2,81.81,60,61.5,34,23,81,8
"9584",7324052,1,72.72,60,70,56,23,57,8
"9585",7324059,1,87.87,60,68.5,39,65,91,6
"9586",7324072,3,54.54,60,64,0,36,81,0
"9588",7324072,6,54.54,44,53.5,0,16,34,10
"9589",7324073,1,51.51,60,61.5,46,23,87,10
"9593",7324076,1,36.36,60,66,42,70,67,7
"9594",7324076,2,36.36,60,68,0,56,75,10
"9595",7324076,3,36.36,60,66,0,31,65,10
"9596",7324079,1,51.51,60,67.5,62,54,82,10
"9597",7324080,1,60.6,60,71.5,52,23,82,10
"9598",7324082,1,63.63,60,71.5,46,4,91,10
"9599",7324086,1,45.45,60,66,43,23,86,10
"9601",7324087,1,42.42,60,58.5,50,23,46,10
"9602",7324087,2,42.42,60,71,0,23,77,10
"9603",7324089,1,48.48,60,65.5,68,36,44,10
"9604",7324089,2,48.48,44,73,0,23,50,10
"9607",7324091,1,42.42,60,72,64,1,57,10
"9608",7324093,1,42.42,60,59,65,23,60,7
"9609",7324093,2,42.42,60,67.5,0,36,42,5
"9610",7324095,1,54.54,60,68,54,36,79,8
"9611",7324096,1,72.72,60,67.5,56,36,76,10
"9612",7324098,1,51.51,60,71,53,16,86,9
"9613",7324098,2,51.51,60,73,0,36,87,5
"9614",7324103,2,78.78,60,64,0,3,91,8
"9615",7324108,1,57.57,44,56.5,63,16,86,7
"9616",7324108,2,57.57,60,65.5,0,16,67,8
"9618",7324113,1,60.6,60,66.5,65,52,77,10
"9619",7324114,1,51.51,60,64,67,23,79,8
"9620",7324124,1,66.66,60,51.5,56,16,81,9
"9621",7324126,1,75.75,60,69,57,16,91,9
"9622",7324127,1,75.75,60,71,67,23,86,9
"9624",7324128,1,75.75,60,59.5,66,23,86,8
"9625",7324128,2,75.75,60,71,0,36,91,8
"9627",7324130,1,75.75,44,68.5,54,36,91,5
"9628",7324130,2,75.75,60,71,0,36,82,7
"9630",7324136,1,66.66,60,69,44,3,86,10
"9631",7324136,2,66.66,60,65,0,44,86,10
"9633",7324141,1,75.75,60,66.5,57,3,82,8
"9634",7324144,3,72.72,60,68,0,23,91,10
"9637",7324152,1,81.81,44,69.5,56,50,76,6
"9638",7324153,1,54.54,60,64.5,58,16,91,6
