"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"805",7249209,1,60
"806",7249215,1,60
"807",7249216,1,80
"808",7249216,2,80
"809",7249216,3,60
"810",7249217,1,100
"811",7249218,1,60
"812",7249221,1,100
"813",7249221,2,60
"814",7249222,1,60
"815",7249224,1,80
"816",7249224,2,60
"817",7249229,5,60
"818",7249232,4,60
"819",7249233,1,44
"820",7249246,1,60
"821",7249246,2,60
"822",7249248,1,60
"823",7249248,2,60
"824",7249251,1,60
"825",7249251,2,60
"826",7249252,7,44
"827",7249254,1,60
"828",7249257,1,60
"829",7249257,2,60
"830",7249258,1,60
"831",7249262,1,60
"832",7249262,2,60
"833",7249263,1,60
"834",7249263,2,60
"835",7249265,2,60
"836",7249266,1,60
"837",7249268,1,80
"838",7249274,1,60
"839",7249281,1,60
"840",7249284,2,44
"841",7249285,1,44
"842",7249292,1,60
"843",7249292,2,44
"844",7249301,1,60
"845",7249309,1,44
"846",7249328,1,60
"847",7249338,3,60
"848",7249340,1,60
"849",7249349,6,60
"850",7249350,1,60
"851",7249350,2,60
"852",7249365,9,44
"853",7249371,1,60
"854",7249380,1,60
"855",7249381,1,60
"856",7249383,1,60
"857",7249388,1,44
"858",7249391,2,60
"859",7249395,1,60
"860",7249397,2,44
"861",7249399,1,60
"862",7249399,2,44
"863",7249403,1,60
"864",7249411,3,60
"865",7249412,1,100
"866",7249416,1,60
"867",7249438,1,60
"868",7249438,2,60
"869",7249446,1,60
"870",7249455,1,80
"871",7249462,1,60
"872",7249463,1,44
"873",7249465,2,44
"874",7249474,1,60
"875",7249491,1,60
"876",7249492,1,44
"877",7249494,1,60
"878",7249497,1,60
"879",7249500,1,60
"880",7249501,1,80
"881",7249502,2,44
"882",7249507,1,100
"883",7249511,1,60
"884",7249511,2,60
"885",7249512,1,60
"886",7249515,2,44
"887",7249522,4,60
"888",7249531,1,60
"889",7249545,1,60
"890",7249552,1,60
"891",7249552,2,60
"892",7249555,1,60
"893",7249558,4,60
"894",7249565,1,60
"895",7249565,2,60
"896",7249575,1,60
"897",7249584,5,60
"898",7249593,1,60
"899",7249603,1,60
