"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"749",7249598,3,56
"750",7249609,2,25
"751",7249609,2,55
"752",7249609,3,16
"753",7249609,3,16
"754",7249609,3,16
"755",7249609,3,16
"756",7249614,2,26
"757",7249618,3,3
"758",7249620,4,27
"759",7249621,4,26
"760",7249622,3,1
"761",7249622,4,1
"762",7249631,3,51
"763",7249641,4,36
"764",7249644,3,57
"765",7249647,4,1
"766",7249651,4,24
"767",7249653,3,3
"768",7249655,2,23
"769",7249662,2,1
"770",7249662,3,1
"771",7249664,3,32
"772",7249669,4,1
"773",7249669,5,3
"774",7249683,3,32
"775",7249683,4,36
"776",7249698,3,23
"777",7249699,3,38
"778",7249699,4,32
"779",7249709,3,0
"780",7249710,2,0
"781",7249715,3,30
"782",7249717,2,24
"783",7249720,5,30
"784",7249723,3,1
"785",7249727,4,30
"786",7249744,5,3
"787",7249745,3,1
"788",7249745,4,1
"789",7249747,3,29
"790",7249758,5,3
"791",7249763,4,16
"792",7249764,5,16
"793",7249765,3,32
"794",7249767,3,3
"795",7249780,3,3
"796",7249780,4,3
"797",7249783,4,3
"798",7249792,3,0
"799",7249804,3,3
"800",7249805,2,24
"801",7249806,3,24
"802",7249812,3,0
"803",7249824,3,1
"804",7249824,4,3
"805",7249826,3,16
"806",7249830,4,56
"807",7249832,3,29
"808",7249835,3,24
"809",7249836,4,28
"810",7249837,3,31
"811",7249839,3,3
"812",7249844,3,3
"813",7249844,4,3
"814",7249845,3,53
"815",7249845,4,1
"816",7249847,3,1
"817",7249865,3,3
"818",7249870,3,3
"819",7249877,3,1
"820",7249881,3,3
"821",7249881,4,3
"822",7249883,3,1
"823",7249887,4,3
"824",7249897,3,3
"825",7249898,4,32
"826",7249902,3,0
"827",7249903,4,16
"828",7249905,4,0
"829",7249905,6,52
"830",7249908,5,54
"831",7249908,6,56
"832",7249909,3,26
"833",7249909,4,0
"834",7249909,5,0
"835",7249911,3,25
"836",7249913,3,25
"837",7249913,4,25
"838",7249922,3,3
"839",7249925,3,55
"840",7249926,3,25
"841",7249935,3,0
"842",7249935,4,3
"843",7249937,5,30
"844",7249938,4,1
"845",7249938,5,1
"846",7249946,3,1
"847",7249946,4,1
"848",7249947,5,36
"849",7249950,3,28
"850",7249951,5,32
"851",7249952,3,38
"852",7249952,4,38
"853",7249953,4,41
"854",7249957,4,23
"855",7249958,6,3
"856",7249958,7,3
"857",7249959,6,41
"858",7249972,3,3
"859",7249973,3,24
"860",7249973,4,3
"861",7249977,4,28
"862",7249988,2,24
"863",7249988,3,3
"864",7249989,3,3
"865",7249990,3,23
"866",7249991,3,0
"867",7249995,5,23
"868",7249996,3,3
"869",7250001,3,0
"870",7250005,3,0
"871",7250007,3,1
"872",7250007,4,1
"873",7250018,3,36
"874",7250018,4,0
"875",7250019,3,32
"876",7250019,4,23
"877",7250020,3,24
"878",7250021,3,26
"879",7250021,4,24
"880",7250026,3,29
"881",7250029,4,26
"882",7250029,5,28
"883",7250029,6,30
"884",7250043,3,30
"885",7250043,4,32
"886",7250052,2,23
"887",7250055,3,34
"888",7250057,4,23
"889",7250058,5,65
"890",7250059,3,1
"891",7250059,4,1
"892",7250060,3,23
"893",7250060,4,1
"894",7250063,5,0
"895",7250065,5,4
"896",7250066,5,3
"897",7250067,4,54
"898",7250070,4,32
"899",7250070,5,3
"900",7250070,6,3
"901",7250071,2,29
"902",7250071,3,28
"903",7250072,2,29
"904",7250073,3,0
"905",7250075,3,28
"906",7250076,5,3
"907",7250078,3,3
"908",7250079,3,29
"909",7250079,4,3
"910",7250080,3,56
"911",7250085,5,25
"912",7250086,4,1
"913",7250086,5,1
"914",7250093,3,28
"915",7250094,3,36
"916",7250099,5,28
"917",7250099,6,30
"918",7250100,3,24
"919",7250100,4,3
"920",7250101,3,3
"921",7250105,5,25
"922",7250106,5,38
"923",7250110,2,24
"924",7250115,3,3
"925",7250116,2,28
"926",7250116,3,28
"927",7250118,3,28
"928",7250118,4,28
"929",7250126,3,28
"930",7250126,4,28
"931",7250126,5,3
"932",7250129,5,23
"933",7250132,5,1
"934",7250137,3,23
"935",7250137,4,23
"936",7250138,3,3
"937",7250140,3,22
"938",7250145,3,29
"939",7250146,3,32
"940",7250148,3,1
"941",7250149,5,16
"942",7250152,3,21
"943",7250152,4,3
"944",7250155,4,23
"945",7250161,3,0
"946",7250162,5,23
"947",7250168,4,30
"948",7250168,5,32
"949",7250169,5,65
"950",7250171,3,3
"951",7250172,3,55
"952",7250173,3,25
"953",7250175,8,0
"954",7250175,9,3
"955",7250178,3,23
"956",7250182,6,32
"957",7250188,5,3
"958",7250188,6,3
"959",7250196,3,38
"960",7250198,3,40
"961",7250202,2,32
"962",7250207,2,3
"963",7250215,3,46
"964",7250215,4,33
"965",7250222,4,54
"966",7250222,5,26
"967",7250224,3,3
"968",7250235,3,3
"969",7250238,2,62
"970",7250238,3,30
"971",7250246,2,3
"972",7250249,2,24
"973",7250255,4,1
"974",7250255,5,3
"975",7250257,5,1
"976",7250257,6,1
"977",7250261,3,23
"978",7250264,4,23
"979",7250268,3,1
"980",7250268,4,1
"981",7250269,3,25
"982",7250269,4,25
"983",7250272,2,22
"984",7250274,3,26
"985",7250274,4,3
"986",7250280,3,33
"987",7250282,3,24
"988",7250282,4,23
"989",7250286,6,3
"990",7250286,7,3
"991",7250286,8,3
"992",7250288,4,0
"993",7250289,4,0
"994",7250289,5,3
"995",7250293,4,3
"996",7250296,5,28
"997",7250302,5,24
"998",7250302,6,0
"999",7250302,7,0
"1000",7250302,8,0
"1001",7250307,3,3
"1002",7250307,4,0
"1003",7250308,3,16
"1004",7250308,4,16
"1005",7250308,5,16
"1006",7250309,3,0
"1007",7250316,5,24
"1008",7250316,6,24
"1009",7250318,4,27
"1010",7250320,3,23
"1011",7250320,4,23
"1012",7250323,4,23
"1013",7250324,3,27
"1014",7250330,11,24
"1015",7250330,12,24
"1016",7250330,7,28
"1017",7250331,6,0
"1018",7250331,7,3
"1019",7250332,4,33
"1020",7250342,4,3
"1021",7250344,4,1
"1022",7250347,2,3
"1023",7250348,4,26
"1024",7250349,2,1
"1025",7250349,3,1
"1026",7250353,6,3
"1027",7250356,4,31
"1028",7250357,2,27
"1029",7250358,5,3
"1030",7250358,6,3
"1031",7250358,7,3
"1032",7250359,4,3
"1033",7250361,3,3
"1034",7250362,4,1
"1035",7250363,6,62
"1036",7250364,5,0
"1037",7250368,3,24
"1038",7250369,3,24
"1039",7250369,4,24
"1040",7250372,4,30
"1041",7250372,5,30
"1042",7250373,2,36
"1043",7250390,2,24
"1044",7250390,3,24
"1045",7250391,4,56
"1046",7250392,3,28
"1047",7250399,3,26
"1048",7250401,2,30
"1049",7250401,3,30
"1050",7250403,4,23
"1051",7250406,5,32
"1052",7250408,4,32
"1053",7250410,3,0
"1054",7250413,5,40
"1055",7250414,4,16
"1056",7250416,3,24
"1057",7250416,4,23
"1058",7250428,3,32
"1059",7250428,4,3
"1060",7250432,3,0
"1061",7250432,4,0
"1062",7250432,5,0
"1063",7250435,3,16
"1064",7250440,4,24
"1065",7250441,3,0
"1066",7250442,3,32
"1067",7250442,4,28
"1068",7250443,9,0
"1069",7250445,5,28
"1070",7250446,3,32
"1071",7250447,3,31
"1072",7250459,2,25
"1073",7250460,2,24
"1074",7250460,3,3
"1075",7250462,2,42
"1076",7250464,3,3
"1077",7250476,5,3
"1078",7250484,3,29
"1079",7250484,4,27
"1080",7250487,3,26
"1081",7250488,3,0
"1082",7250488,4,16
"1083",7250490,3,30
"1084",7250491,3,28
"1085",7250496,3,0
"1086",7250497,3,56
"1087",7250499,3,16
"1088",7250502,3,24
"1089",7250506,4,72
"1090",7250508,2,68
"1091",7250522,2,32
"1092",7250522,3,24
"1093",7250523,3,36
"1094",7250530,5,26
"1095",7250539,3,30
"1096",7250548,3,72
"1097",7250555,2,27
"1098",7250569,3,30
"1099",7250575,3,51
"1100",7250575,4,23
"1101",7250575,5,16
"1102",7250577,2,1
"1103",7250577,3,1
"1104",7250580,3,1
"1105",7250585,5,38
"1106",7250585,6,24
"1107",7250591,3,24
"1108",7250601,4,24
"1109",7250605,3,65
"1110",7250605,4,54
"1111",7250611,5,28
"1112",7250614,4,29
"1113",7250614,5,28
"1114",7250614,6,23
"1115",7250618,3,24
"1116",7250619,3,25
"1117",7250620,3,3
"1118",7250623,4,32
"1119",7250624,4,1
"1120",7250627,3,58
"1121",7250631,3,1
"1122",7250633,4,23
"1123",7250633,5,23
"1124",7250634,4,34
"1125",7250635,3,28
"1126",7250636,4,23
"1127",7250636,5,3
"1128",7250637,2,62
"1129",7250637,3,31
"1130",7250642,4,29
"1131",7250642,7,1
"1132",7250644,6,62
"1133",7250656,3,3
"1134",7250657,4,22
"1135",7250659,2,23
"1136",7250665,2,23
"1137",7250666,2,3
"1138",7250668,5,23
"1139",7250669,5,23
"1140",7250669,6,23
"1141",7250670,3,0
"1142",7250675,3,25
"1143",7250675,4,25
"1144",7250679,3,3
"1145",7250680,4,26
"1146",7250683,4,24
"1147",7250684,3,3
"1148",7250689,4,24
"1149",7250690,4,3
"1150",7250691,4,3
"1151",7250691,5,3
"1152",7250694,3,0
