"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
7,7249835,3
11,7249836,4
12,7249837,3
7,7249839,3
8,7249844,3
5,7249844,4
2,7249844,5
12,7249845,3
10,7249845,4
3,7249845,5
7,7249847,3
4,7249862,3
3,7249862,4
6,7249865,3
10,7249870,3
2,7249876,3
12,7249877,3
12,7249881,3
10,7249881,4
12,7249883,3
10,7249887,4
3,7249888,3
4,7249892,3
1,7249895,3
6,7249897,3
3,7249898,3
10,7249898,4
5,7249902,3
5,7249903,4
2,7249904,3
7,7249905,4
0,7249905,5
10,7249905,6
12,7249908,5
10,7249908,6
12,7249909,3
7,7249909,4
11,7249909,5
11,7249911,3
12,7249913,3
10,7249913,4
3,7249913,5
2,7249915,3
4,7249917,3
1,7249917,4
5,7249922,3
1,7249922,4
12,7249925,3
7,7249926,3
0,7249927,2
4,7249928,3
0,7249928,4
2,7249931,3
8,7249935,3
6,7249935,4
2,7249935,5
3,7249936,3
8,7249937,5
10,7249938,4
7,7249938,5
2,7249944,6
9,7249946,3
6,7249946,4
9,7249947,5
2,7249949,5
11,7249950,3
2,7249950,5
7,7249951,5
12,7249952,3
7,7249952,4
8,7249953,4
6,7249957,4
6,7249958,6
5,7249958,7
3,7249958,8
8,7249959,6
0,7249962,6
4,7249967,3
0,7249967,4
5,7249972,3
8,7249973,3
6,7249973,4
6,7249977,4
4,7249977,5
3,7249980,3
4,7249982,3
10,7249988,2
7,7249988,3
1,7249988,4
6,7249989,3
8,7249990,3
4,7249990,4
2,7249990,5
0,7249990,6
6,7249991,3
1,7249991,4
7,7249995,5
6,7249996,3
4,7249996,4
3,7249996,8
4,7249998,3
2,7249998,4
6,7250001,3
6,7250005,3
11,7250007,3
5,7250007,4
4,7250011,3
10,7250018,3
6,7250018,4
12,7250019,3
6,7250019,4
1,7250019,5
10,7250020,3
2,7250020,4
11,7250021,3
5,7250021,4
2,7250021,5
6,7250026,3
1,7250027,3
12,7250029,4
10,7250029,5
8,7250029,6
3,7250040,3
3,7250041,3
2,7250041,4
11,7250043,3
9,7250043,4
5,7250052,2
4,7250054,4
7,7250055,3
3,7250055,4
6,7250057,4
12,7250058,5
10,7250059,3
7,7250059,4
11,7250060,3
8,7250060,4
7,7250063,5
4,7250063,6
8,7250065,5
4,7250065,6
8,7250066,5
9,7250067,4
11,7250070,4
7,7250070,5
5,7250070,6
12,7250071,2
9,7250071,3
9,7250072,2
5,7250073,3
3,7250073,4
5,7250075,3
9,7250076,5
4,7250076,6
2,7250076,7
5,7250078,3
8,7250079,3
6,7250079,4
12,7250080,3
5,7250085,5
0,7250085,6
11,7250086,4
9,7250086,5
3,7250088,3
0,7250088,4
0,7250092,6
10,7250093,3
0,7250094,3
0,7250096,5
2,7250098,4
12,7250099,5
9,7250099,6
9,7250100,3
11,7250100,4
6,7250101,3
1,7250101,4
2,7250102,3
1,7250102,4
11,7250105,5
7,7250106,5
7,7250110,2
4,7250113,5
7,7250115,3
1,7250115,5
10,7250116,2
8,7250116,3
4,7250116,4
3,7250116,5
9,7250118,3
7,7250118,4
2,7250119,3
2,7250124,5
1,7250125,3
11,7250126,3
10,7250126,4
5,7250126,5
3,7250126,6
8,7250129,5
11,7250132,5
11,7250137,3
10,7250137,4
7,7250138,3
0,7250138,4
0,7250139,5
10,7250140,3
2,7250141,3
0,7250144,2
7,7250145,3
3,7250145,4
7,7250146,3
4,7250146,4
0,7250146,5
7,7250148,3
6,7250149,5
4,7250149,6
11,7250152,3
7,7250152,4
4,7250152,5
1,7250153,3
10,7250155,4
9,7250161,3
4,7250161,4
8,7250162,5
4,7250162,6
3,7250166,4
1,7250167,3
11,7250168,4
8,7250168,5
4,7250168,8
12,7250169,5
3,7250170,5
3,7250170,6
5,7250171,3
0,7250171,4
12,7250172,3
7,7250173,3
2,7250173,4
9,7250175,8
7,7250175,9
0,7250175,10
7,7250178,3
1,7250178,4
12,7250182,6
10,7250188,5
9,7250188,6
12,7250196,3
10,7250198,3
9,7250202,2
3,7250207,2
1,7250209,6
12,7250215,3
9,7250215,4
2,7250218,4
3,7250219,4
12,7250222,4
8,7250222,5
5,7250224,3
5,7250235,3
8,7250238,3
0,7250238,2
3,7250241,3
0,7250241,4
1,7250243,5
4,7250245,2
2,7250245,3
0,7250245,4
8,7250246,2
2,7250246,3
0,7250246,4
11,7250249,2
1,7250249,3
11,7250255,4
6,7250255,5
8,7250257,5
5,7250257,6
2,7250257,7
1,7250257,8
7,7250261,3
9,7250264,4
8,7250268,3
5,7250268,4
11,7250269,3
8,7250269,4
3,7250270,4
2,7250271,5
11,7250272,2
11,7250274,3
7,7250274,4
11,7250280,3
10,7250282,3
7,7250282,4
12,7250286,6
9,7250286,7
5,7250286,8
6,7250288,4
0,7250288,7
12,7250289,4
9,7250289,5
5,7250293,4
9,7250296,5
0,7250299,4
11,7250302,5
10,7250302,6
6,7250302,7
5,7250302,8
8,7250307,3
7,7250307,4
1,7250307,5
11,7250308,3
8,7250308,4
6,7250308,5
6,7250309,3
4,7250309,4
2,7250309,5
9,7250316,5
7,7250316,6
11,7250318,4
10,7250320,3
5,7250320,4
1,7250320,5
9,7250323,4
8,7250324,3
3,7250324,4
2,7250326,4
6,7250330,7
4,7250330,8
6,7250330,11
5,7250330,12
9,7250331,6
7,7250331,7
10,7250332,4
5,7250342,4
1,7250343,5
11,7250344,4
4,7250344,7
11,7250347,2
11,7250348,4
12,7250349,2
9,7250349,3
8,7250353,6
1,7250354,4
6,7250356,4
12,7250357,2
4,7250357,4
0,7250357,5
0,7250357,7
12,7250358,5
9,7250358,6
8,7250358,7
11,7250359,4
7,7250361,3
2,7250361,4
9,7250362,4
0,7250362,5
11,7250363,6
7,7250364,5
9,7250368,3
11,7250369,3
8,7250369,4
6,7250372,4
6,7250372,5
11,7250373,2
4,7250373,3
1,7250374,5
3,7250375,3
3,7250376,4
1,7250377,3
3,7250379,5
1,7250379,6
12,7250390,2
10,7250390,3
11,7250391,4
0,7250391,5
9,7250392,3
3,7250393,4
6,7250399,3
12,7250401,2
11,7250401,3
9,7250403,4
