DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A2;P784S4A3;P784S4A4
7258096;1;1;1;51,6677433838957;DEVOLUCION DEL IVA;1;210000
7258173;1;1;1;64,041252591211;ALIMENTACION EN CENTRO VIDA;1;5000
7258262;1;1;1;159,816288927198;JOVENES EN ACCION;1;700000
7258290;1;1;1;81,4368795265083;MERCADO;1;50000
7258291;1;1;1;57,8293008580385;MERCADOS EN TIEMPO DE PANDEMIA;1;450000
7258293;1;1;1;77,1942315447315;MERCADO;1;70000
7258352;1;1;1;108,394175084841;SER PILO PAGA;1;2400000
7258576;1;1;1;45,2195502211023;COFREN;3;1080000
7258628;1;1;1;208,664974751118;PAE;1;60000
7258663;1;1;1;459,911991320776;JOVENES EN ACCION;2;2400000
7258789;2;1;2;75,694452507842;FAMILIAS EN ACCION Y ADULTO MAYOR;2;2725000
7258953;1;1;1;130,218716271917;MERCADO POR LA PANDEMIA;1;100000
7259139;1;1;1;77,0242802425251;FAMILIAS DE MI TIERRA;1;1470000
7259155;1;1;1;382,302439493926;INSTITUTO COLOMBIANO DE BIENSTAR FAMILIAR;2;60000
7259253;1;1;1;299,30449247522;DEVOLUCION DE IVA;1;150000
7259262;1;1;1;139,178218173736;DEVOLUCION DEL IVA;1;75000
7259453;1;1;1;143,732775433426;MADRES FAMI;1;600000
7259498;1;1;1;311,216450006043;MERCADO;3;20000
7259499;1;1;1;184,184099785105;MERCADO;1;80000
7259565;1;1;1;135,214055529671;DEZPLAZADA;1;9500000
7259692;1;1;1;50,4294845085278;INGRESO DEVOLUCION DEL IVA;1;225000
7259903;1;1;1;10,3032546623332;ONU;1;70000
7259903;2;1;2;10,3032546623332;IGLESIA PENTECOSTAL;1;70800
7260006;1;1;1;131,412680712022;PAE;2;90000
7260007;1;1;1;59,494756142257;NO SABE;1;100000
7260007;1;2;1;59,494756142257;NO SABE;1;100000
7260008;1;1;1;91,3098455434124;PAE;1;20000
7260011;1;1;1;165,190660817398;NO SABE;1;80000
7260017;1;1;1;156,618039925946;PAE;3;180000
7260023;1;1;1;87,361283792758;NO SABE;1;200000
7260024;1;1;1;91,3098455434124;NO SABE;1;200000
7260026;1;1;1;88,2546172445748;NO SABE;1;200000
7260027;1;1;1;111,171055791631;NO SABEN;1;200000
7260030;1;1;1;53,7354083092251;VESINOS DE CHOLON;1;160000
7260033;1;1;1;113,727880340596;VESINOS DE CHOLON;3;250000
7260035;1;1;1;107,968532507564;ICBF;1;488000
7260056;1;1;1;267,593696287788;REGALIA;1;145000
7260064;1;1;1;261,845173775007;APOYO DE SOSTENIMIENTO DEL SENA;1;1052000
7260068;1;1;1;242,738853176661;APOYO DE SOSTENIMIENTO;1;4160000
7260087;1;1;1;34,7574918192792;DEVULUCION DEL IVA;1;75000
7260099;1;1;1;48,8796494540032;DEVOLUCION DEL IVA;1;75000
7260216;1;1;1;37,5177399104641;DEVOLUCION DEL IVA;1;150000
7260224;1;1;1;40,4247496669812;EJERCITO NACIONAL;1;30000
7260224;2;1;2;40,4247496669812;ALCALDIA MUNICIPAL;1;200000
7260224;3;1;3;40,4247496669812;POLICIA NACIONAL;1;240000
7260229;1;1;1;47,8789312961761;ALCALDIA MUNICIPAL;1;200000
7260229;2;1;2;47,8789312961761;POLICIA NACIONAL;1;50000
7260280;1;1;1;96,9336309915194;DEVOLUCION DEL IVA;1;225000
7260357;1;1;1;129,751050761673;MERCADOS DEL PAE;1;15000
7260371;1;1;1;149,710627408693;BONO SOLIDARIO ALCALDIA DE MEDELLIN;1;100000
7260397;1;1;1;34,7642610575205;JOVENES EN ACCION;1;950000
7260405;1;1;1;39,0107254189358;IVA;1;160000
7260612;1;1;1;11,4227823339329;SEMILLAS Y AGUA;1;1400000
7260624;1;1;1;9,04359531882063;LA CANASTA FAMILIAR;1;800000
7260627;1;1;1;6,07968810631701;SEMILLAS Y AGUA;1;1200000
7260639;1;1;1;9,81959047267578;SEMILLAS Y AGUA;1;103000
7260796;1;1;1;146,169240609187;ALCALDIA ZIPA;1;70000
7260803;1;1;1;297,332098600123;SUBSIDIO POR EMERGENCIA;1;620000
7260809;1;1;1;177,552190013758;MERCADO SOLIDARIO;1;150000
7260810;1;1;1;251,117315370512;AYUDA MONETARIA;1;480000
7260935;1;1;1;88,9301858884295;MERCADO DE LA GOBERNACION;1;80000
7260936;1;1;1;110,096416140661;FAM;1;2400000
7260938;1;1;1;75,8253479430617;MERCADO DE LA ALCALDIA;1;50000
7260946;1;1;1;148,681553018986;MERCADOS;1;100000
7260959;1;1;1;124,052033039847;MERCADOS POR PANDEMIA;1;70000
7260963;1;1;1;124,052033039847;MERCADO POR PANDEMIA;1;70000
7260965;1;1;1;127,291805457478;MERCADO;1;50000
7261001;1;1;1;116,968528575338;MERCADOS;2;150000
7261184;1;1;1;96,9542852080537;SUBSIDIO SOLIDARIO;1;160000
7261230;1;1;1;46,4165686033985;AYUDA HUMANITARIA;1;480000
7261251;1;1;1;387,257837287489;COMPLEMENTO;1;40000
7261510;1;1;1;284,564471194238;DEVOLUCION DE IVA;1;150000
7261512;1;1;1;219,452040812254;SUBSIDIO A LA COMPRA DE GAS;1;30000
7261514;1;1;1;263,912676168473;DEVOLUCION DEL IVA;1;150000
7261542;1;1;1;184,078675082431;DEVILUCION DE IVA;1;150000
7261544;1;1;1;263,324119598618;SUBSIDIO A LA COMPRA DE GAS;1;500000
7261547;1;1;1;255,92889297708;SUBSIDIO A LA COMPRA DE GAS;1;180000
7261548;1;1;1;235,865654521171;DEVOLUCION DEL IVA;1;75000
7261549;1;1;1;243,403442193872;DEVOLUCION DE IVA;1;150000
7261552;1;1;1;197,762006016735;DEVOLUCION IVA;1;150000
7261563;1;1;1;263,466680649781;SUBSIDIO A LA COMPRA DE GAS;1;520000
7261573;1;1;1;273,944295396428;DEVOLUCION DEL IVA;1;75000
7261580;1;1;1;251,044414337226;DEVOLUCION IVA;1;225000
7261586;1;1;1;99,6569035426567;COVID 19;1;60000
7261637;1;1;1;45,848368047934;DESCUENTO DEL IVA;1;225000
7261763;1;1;1;3,09114771388554;ACCION SOCIAL;1;1200000
7261803;1;1;1;3,24876577200697;MARAMA;1;500000
7261896;1;1;1;62,4662123500897;SEMILLITAS ICBF;1;1000000
7261901;1;1;1;62,4662123500897;SEMILLITAS ICBF;1;600000
7261985;1;1;1;5,60125102746828;MERCADO;1;50000
7281211;1;1;1;572,310550118763;MERCADOS;1;80000
7281212;1;1;1;479,992874877094;MERCADOS;1;50000
7281321;1;1;1;293,463569387071;PLAN COLOMBIA;2;200000
7281359;1;1;1;527,881139503007;JOVENES EN ACCION;1;1149000
7281529;1;1;1;35,9554613406917;JOVENES EN ACCION;1;800000
7281606;1;1;1;48,3653304576619;PANDEMIA;1;2160000
7281609;1;1;1;14,9240144100401;MERCADOS PARA TODOS;1;98
7281632;1;1;1;11,7396361266193;MERCADOS PARA TODOS;1;60000
