"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
78,7372517,1,"7372517-1",192552,NA,NA,63031,62552,178248,155649,613677,63031,192552,63031,178248,NA,63031,NA
67,7372517,2,"7372517-2",192553,NA,NA,NA,NA,178249,155650,613678,NA,192553,NA,178249,NA,NA,NA
70,7372517,5,"7372517-5",192556,NA,NA,NA,NA,178252,155653,613681,NA,192556,NA,178252,NA,NA,NA
63,7372521,1,"7372521-1",192565,NA,NA,63035,62556,178261,155662,613756,63035,192565,63035,178261,NA,63035,NA
76,7372522,2,"7372522-2",192567,NA,NA,NA,NA,178263,155664,613772,NA,192567,NA,178263,NA,NA,NA
68,7372525,1,"7372525-1",192574,NA,NA,63039,62560,178270,155671,613821,63039,192574,63039,178270,5831,63039,NA
65,7372525,2,"7372525-2",192575,NA,NA,NA,NA,178271,155672,613822,NA,192575,NA,178271,5832,NA,NA
72,7372526,1,"7372526-1",192577,NA,NA,63040,62561,178273,155673,613831,63040,192577,63040,178273,NA,63040,NA
69,7372527,1,"7372527-1",192580,NA,NA,63041,62562,178276,155676,613845,63041,192580,63041,178276,NA,63041,NA
60,7372528,1,"7372528-1",192581,NA,NA,63042,62563,178277,155677,613856,63042,192581,63042,178277,NA,63042,NA
67,7372531,2,"7372531-2",192587,NA,NA,NA,NA,178283,155683,613895,NA,192587,NA,178283,NA,NA,NA
63,7372535,1,"7372535-1",192595,NA,NA,63049,62570,178290,155690,613962,63049,192595,63049,178290,NA,63049,NA
67,7372538,4,"7372538-4",192608,NA,NA,NA,NA,178302,155702,614002,NA,192608,NA,178302,NA,NA,NA
61,7372541,3,"7372541-3",192618,NA,NA,NA,NA,178311,155709,614055,NA,192618,NA,178311,NA,NA,NA
65,7372543,1,"7372543-1",192622,NA,NA,63057,62578,178315,155713,614088,63057,192622,63057,178315,NA,63057,NA
72,7372560,1,"7372560-1",192638,NA,NA,63065,62586,178330,155726,614175,63065,192638,63065,178330,NA,63065,NA
62,7372560,2,"7372560-2",192639,NA,NA,NA,NA,178331,155727,614176,NA,192639,NA,178331,NA,NA,NA
61,7372561,1,"7372561-1",192641,NA,NA,63066,62587,178333,155729,614181,63066,192641,63066,178333,NA,63066,NA
62,7372566,1,"7372566-1",192651,NA,NA,63069,62590,178342,155735,614219,63069,192651,63069,178342,NA,63069,NA
67,7372566,2,"7372566-2",192652,NA,NA,NA,NA,178343,155736,NA,NA,192652,NA,178343,NA,NA,NA
83,7372571,3,"7372571-3",192670,NA,NA,NA,NA,178356,155747,614254,NA,192670,NA,178356,NA,NA,NA
63,7372572,1,"7372572-1",192671,NA,NA,63075,62596,178357,155748,614260,63075,192671,63075,178357,NA,63075,NA
73,7372580,1,"7372580-1",192692,NA,NA,63082,62603,178377,155764,614335,63082,192692,63082,178377,NA,63082,NA
76,7372580,2,"7372580-2",192693,NA,NA,NA,NA,178378,155765,614336,NA,192693,NA,178378,NA,NA,NA
72,7372584,1,"7372584-1",192697,NA,NA,63084,62605,178382,155768,614340,63084,192697,63084,178382,NA,63084,NA
67,7372585,1,"7372585-1",192699,NA,NA,63085,62606,178384,155770,614342,63085,192699,63085,178384,NA,63085,NA
66,7372588,1,"7372588-1",192706,NA,NA,63087,62608,178391,155777,614366,63087,192706,63087,178391,NA,63087,NA
71,7372593,1,"7372593-1",192711,NA,NA,63090,62611,178396,155782,614381,63090,192711,63090,178396,NA,63090,NA
68,7372596,1,"7372596-1",192719,NA,NA,63093,62614,178404,155789,614400,63093,192719,63093,178404,NA,63093,NA
78,7372598,4,"7372598-4",192730,NA,NA,NA,NA,178415,155798,NA,NA,192730,NA,178415,NA,NA,NA
60,7372601,1,"7372601-1",192732,NA,NA,63097,62618,178417,155800,614437,63097,192732,63097,178417,NA,63097,NA
